frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
32042633000000.0,80000,32,16384,256,2048
32043147000000.0,80000,32,16384,256,4096
32085167000000.0,80000,32,16384,256,8192
32078266000000.0,80000,32,16384,256,16384
32080627000000.0,80000,32,16384,256,32768
32094105000000.0,80000,32,16384,256,65536
64079113000000.0,80000,32,16384,512,1024
64375214000000.0,80000,32,16384,512,2048
64277537000000.0,80000,32,16384,512,4096
64443833000000.0,80000,32,16384,512,8192
64395124000000.0,80000,32,16384,512,16384
64378840000000.0,80000,32,16384,512,32768
64393150000000.0,80000,32,16384,512,65536
12476008000000.0,120000,32,16384,256,512
12729073000000.0,120000,32,16384,256,1024
12773237000000.0,120000,32,16384,256,2048
12833748000000.0,120000,32,16384,256,4096
12821470000000.0,120000,32,16384,256,8192
12828943000000.0,120000,32,16384,256,16384
12851044000000.0,120000,32,16384,256,32768
12859904000000.0,120000,32,16384,256,65536
24178265000000.0,120000,32,16384,512,1024
24228764000000.0,120000,32,16384,512,2048
24399072000000.0,120000,32,16384,512,4096
24476470000000.0,120000,32,16384,512,8192
24496790000000.0,120000,32,16384,512,16384
24527325000000.0,120000,32,16384,512,32768
24551240000000.0,120000,32,16384,512,65536
9568457000000.0,160000,32,16384,256,512
9661766000000.0,160000,32,16384,256,1024
9762063000000.0,160000,32,16384,256,2048
9748619000000.0,160000,32,16384,256,4096
9779098000000.0,160000,32,16384,256,8192
9778356000000.0,160000,32,16384,256,16384
9772327000000.0,160000,32,16384,256,32768
9744018000000.0,160000,32,16384,256,65536
18062474000000.0,160000,32,16384,512,1024
18255167000000.0,160000,32,16384,512,2048
18228064000000.0,160000,32,16384,512,4096
18292826000000.0,160000,32,16384,512,8192
18268163000000.0,160000,32,16384,512,16384
18265158000000.0,160000,32,16384,512,32768
18225618000000.0,160000,32,16384,512,65536
5399711000000.0,200000,32,16384,256,512
5491541000000.0,200000,32,16384,256,1024
5602934000000.0,200000,32,16384,256,2048
5597528000000.0,200000,32,16384,256,4096
5616551600000.0,200000,32,16384,256,8192
5598412000000.0,200000,32,16384,256,16384
5587755600000.0,200000,32,16384,256,32768
5591584000000.0,200000,32,16384,256,65536
10726014000000.0,200000,32,16384,512,1024
10957858000000.0,200000,32,16384,512,2048
10974340000000.0,200000,32,16384,512,4096
11002906000000.0,200000,32,16384,512,8192
10959788000000.0,200000,32,16384,512,16384
10952175000000.0,200000,32,16384,512,32768
10955611000000.0,200000,32,16384,512,65536
10028057000000.0,240000,32,16384,256,512
10191254000000.0,240000,32,16384,256,1024
10286230000000.0,240000,32,16384,256,2048
10325556000000.0,240000,32,16384,256,4096
10298578000000.0,240000,32,16384,256,8192
10292932000000.0,240000,32,16384,256,16384
10285853000000.0,240000,32,16384,256,32768
10298992000000.0,240000,32,16384,256,65536
19823981000000.0,240000,32,16384,512,1024
20030452000000.0,240000,32,16384,512,2048
20117228000000.0,240000,32,16384,512,4096
20054618000000.0,240000,32,16384,512,8192
20055163000000.0,240000,32,16384,512,16384
20055176000000.0,240000,32,16384,512,32768
20088070000000.0,240000,32,16384,512,65536
29157392000000.0,280000,32,16384,256,512
29049968000000.0,280000,32,16384,256,1024
28989270000000.0,280000,32,16384,256,2048
29007955000000.0,280000,32,16384,256,4096
29076494000000.0,280000,32,16384,256,8192
29084548000000.0,280000,32,16384,256,16384
29106685000000.0,280000,32,16384,256,32768
29129613000000.0,280000,32,16384,256,65536
49238545000000.0,280000,32,16384,512,1024
49161750000000.0,280000,32,16384,512,2048
49208090000000.0,280000,32,16384,512,4096
49336428000000.0,280000,32,16384,512,8192
49347887000000.0,280000,32,16384,512,16384
49376500000000.0,280000,32,16384,512,32768
49409723000000.0,280000,32,16384,512,65536
17650552000000.0,320000,32,16384,256,512
17937161000000.0,320000,32,16384,256,1024
18095213000000.0,320000,32,16384,256,2048
18187865000000.0,320000,32,16384,256,4096
18178080000000.0,320000,32,16384,256,8192
18169725000000.0,320000,32,16384,256,16384
18148045000000.0,320000,32,16384,256,32768
18174930000000.0,320000,32,16384,256,65536
36090145000000.0,320000,32,16384,512,1024
36461835000000.0,320000,32,16384,512,2048
36597010000000.0,320000,32,16384,512,4096
36551313000000.0,320000,32,16384,512,8192
36535090000000.0,320000,32,16384,512,16384
36493950000000.0,320000,32,16384,512,32768
36532975000000.0,320000,32,16384,512,65536
