Batch,Batch_Size,Train_Loss,Test_Loss,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
260100,32,0.012018674984574318,,0.009270314127206802,0.0027483603917062283,,
260200,32,0.011900048702955246,,0.009144500829279423,0.002755547408014536,,
260300,32,0.015045912936329842,,0.01136716827750206,0.0036787441931664944,,
260400,32,0.014517235569655895,,0.010021252557635307,0.004495983012020588,,
260500,32,0.013810231350362301,,0.010769997723400593,0.0030402338597923517,,
260600,32,0.009914116933941841,,0.007610027678310871,0.00230408925563097,,
260700,32,0.01591109298169613,,0.011836287565529346,0.00407480588182807,,
260800,32,0.014323856681585312,,0.010250473394989967,0.004073383752256632,,
260900,32,0.01273341290652752,,0.00858752615749836,0.0041458867490291595,,
261000,32,0.02301369607448578,,0.015975141897797585,0.007038555108010769,,
261100,32,0.006295295432209969,,0.00422790227457881,0.002067393157631159,,
261200,32,0.014503922313451767,,0.010819729417562485,0.0036841933615505695,,
261300,32,0.01869611069560051,,0.010693472810089588,0.008002638816833496,,
261400,32,0.009589419700205326,,0.0066724661737680435,0.002916953759267926,,
261500,32,0.007813163101673126,,0.005829050671309233,0.001984111964702606,,
261600,32,0.0151627566665411,,0.009869234636425972,0.00529352156445384,,
261700,32,0.00964023731648922,,0.007572248578071594,0.0020679892040789127,,
261800,32,0.0169496089220047,,0.01105088833719492,0.00589872058480978,,
261900,32,0.01346910186111927,,0.010079817846417427,0.003389283549040556,,
262000,32,0.016414359211921692,,0.009293748065829277,0.007120611146092415,,
262100,32,0.015129335224628448,,0.012460349127650261,0.0026689860969781876,,
262200,32,0.008813339285552502,,0.005001262295991182,0.0038120769895613194,,
262300,32,0.011389035731554031,,0.009074442088603973,0.0023145941086113453,,
262400,32,0.018455784767866135,,0.012749891728162766,0.0057058921083807945,,
262500,32,0.018334191292524338,0.01526876064017415,0.012742482125759125,0.005591709166765213,0.010656326822936536,0.004612433654256165
262600,32,0.009512098506093025,,0.007240669801831245,0.002271429169923067,,
262700,32,0.007206309121102095,,0.005092025734484196,0.002114283386617899,,
262800,32,0.011198848485946655,,0.007955278269946575,0.003243569750338793,,
262900,32,0.009084882214665413,,0.007041198667138815,0.0020436830818653107,,
263000,32,0.012005804106593132,,0.009139027446508408,0.0028667766600847244,,
263100,32,0.006092214956879616,,0.004906905349344015,0.001185309374704957,,
263200,32,0.01095531601458788,,0.00788566842675209,0.0030696475878357887,,
263300,32,0.011265726760029793,,0.008718145079910755,0.0025475819129496813,,
263400,32,0.013449369929730892,,0.010601259768009186,0.0028481101617217064,,
263500,32,0.01662343740463257,,0.013023318722844124,0.003600119613111019,,
263600,32,0.012867718935012817,,0.009201367385685444,0.0036663515493273735,,
263700,32,0.01485358364880085,,0.010764379054307938,0.0040892050601542,,
263800,32,0.018309976905584335,,0.013631446287035942,0.004678530618548393,,
263900,32,0.015320107340812683,,0.011240128427743912,0.004079978913068771,,
264000,32,0.01394355297088623,,0.010548900812864304,0.003394652623683214,,
264100,32,0.01743297651410103,,0.012673662044107914,0.004759315401315689,,
264200,32,0.011310400441288948,,0.007284209597855806,0.004026190377771854,,
264300,32,0.015369707718491554,,0.010670650750398636,0.004699056968092918,,
264400,32,0.012760579586029053,,0.009887007996439934,0.002873571589589119,,
264500,32,0.015454049222171307,,0.01224078144878149,0.00321326800622046,,
264600,32,0.010821925476193428,,0.005480698309838772,0.005341227166354656,,
264700,32,0.013855895027518272,,0.010305557399988174,0.0035503373946994543,,
264800,32,0.01596737653017044,,0.011042119935154915,0.0049252575263381,,
264900,32,0.014982009306550026,,0.011490177363157272,0.0034918314777314663,,
265000,32,0.019457748159766197,0.012434701807796955,0.013757538981735706,0.005700209178030491,0.009235888253897429,0.003198813402559608
265100,32,0.016862934455275536,,0.011574378237128258,0.005288556218147278,,
265200,32,0.010642264038324356,,0.00840400904417038,0.002238254528492689,,
265300,32,0.013402202166616917,,0.010086174122989178,0.003316028043627739,,
265400,32,0.012844014912843704,,0.006362655200064182,0.006481359247118235,,
265500,32,0.013935403898358345,,0.010086937807500362,0.0038484660908579826,,
265600,32,0.013537495397031307,,0.01022313255816698,0.0033143628388643265,,
265700,32,0.009944986552000046,,0.007178421597927809,0.0027665647212415934,,
265800,32,0.008654182776808739,,0.004584719426929951,0.004069463815540075,,
265900,32,0.009916810318827629,,0.006968703120946884,0.002948107197880745,,
266000,32,0.02122666873037815,,0.01564435288310051,0.005582315847277641,,
266100,32,0.016594063490629196,,0.011579485610127449,0.005014578811824322,,
266200,32,0.020567215979099274,,0.014690043404698372,0.005877173040062189,,
266300,32,0.009619999676942825,,0.007186645641922951,0.002433353802189231,,
266400,32,0.012446511536836624,,0.008241811767220497,0.004204699769616127,,
266500,32,0.01156209409236908,,0.007757492363452911,0.003804601961746812,,
266600,32,0.01311388798058033,,0.009123150259256363,0.003990737721323967,,
266700,32,0.009678343310952187,,0.006638342048972845,0.0030400012619793415,,
266800,32,0.007552801165729761,,0.005677775479853153,0.001875025685876608,,
266900,32,0.018092572689056396,,0.012355729937553406,0.005736842751502991,,
267000,32,0.016179604455828667,,0.010503913275897503,0.0056756907142698765,,
267100,32,0.00811714306473732,,0.0064159175381064415,0.0017012250609695911,,
267200,32,0.015944985672831535,,0.012483148835599422,0.003461836837232113,,
267300,32,0.012010756880044937,,0.007821733132004738,0.004189024213701487,,
267400,32,0.011602230370044708,,0.00855651218444109,0.0030457177199423313,,
267500,32,0.011715922504663467,0.011605829000473022,0.007272326387465,0.004443596117198467,0.008429877040907741,0.003175951959565282
267600,32,0.011949860490858555,,0.009217865765094757,0.0027319947257637978,,
267700,32,0.01617490127682686,,0.011556809768080711,0.0046180919744074345,,
267800,32,0.012080788612365723,,0.008333776146173477,0.003747012233361602,,
267900,32,0.008108813315629959,,0.0054800016805529594,0.002628812100738287,,
268000,32,0.01277643907815218,,0.008509812876582146,0.004266626201570034,,
268100,32,0.014913380146026611,,0.011221261695027351,0.0036921179853379726,,
268200,32,0.008817650377750397,,0.005711955018341541,0.0031056953594088554,,
268300,32,0.015366102568805218,,0.010613308288156986,0.0047527942806482315,,
268400,32,0.013795336708426476,,0.010201707482337952,0.003593629226088524,,
268500,32,0.017299825325608253,,0.008926065638661385,0.008373759686946869,,
268600,32,0.009608150459825993,,0.0074773309752345085,0.002130819484591484,,
268700,32,0.01342582143843174,,0.009403679519891739,0.004022141452878714,,
268800,32,0.010976717807352543,,0.0063248444348573685,0.004651873372495174,,
268900,32,0.010090974159538746,,0.008027656003832817,0.002063318155705929,,
269000,32,0.013816671445965767,,0.00943184643983841,0.00438482454046607,,
269100,32,0.008929254487156868,,0.005274708848446608,0.003654545173048973,,
269200,32,0.020060289651155472,,0.015155352652072906,0.004904936067759991,,
269300,32,0.017277158796787262,,0.013409681618213654,0.003867476712912321,,
269400,32,0.015016958117485046,,0.011932858265936375,0.0030840998515486717,,
269500,32,0.013391537591814995,,0.009366320446133614,0.0040252176113426685,,
269600,32,0.014253320172429085,,0.009978915564715862,0.00427440507337451,,
269700,32,0.010204432532191277,,0.005770017858594656,0.0044344146735966206,,
269800,32,0.006868191063404083,,0.0033932544756680727,0.003474936820566654,,
269900,32,0.012781361117959023,,0.009602629579603672,0.003178731072694063,,
270000,32,0.011445686221122742,0.015197229944169522,0.0060307737439870834,0.005414912477135658,0.009466822538524867,0.00573040759190917
270100,32,0.009985791519284248,,0.006003696471452713,0.003982095513492823,,
270200,32,0.010732780210673809,,0.004911690019071102,0.005821090191602707,,
270300,32,0.013025371357798576,,0.009859608486294746,0.0031657626386731863,,
270400,32,0.013059934601187706,,0.010087027214467525,0.002972907852381468,,
270500,32,0.013343083672225475,,0.009354308247566223,0.003988775424659252,,
270600,32,0.02216785028576851,,0.016368765383958817,0.00579908536747098,,
270700,32,0.01411777175962925,,0.010401071980595589,0.0037166993133723736,,
270800,32,0.010866793803870678,,0.008380528539419174,0.0024862652644515038,,
270900,32,0.012429928407073021,,0.008630184456706047,0.0037997434847056866,,
271000,32,0.014243198558688164,,0.008768373169004917,0.005474825389683247,,
271100,32,0.011853971518576145,,0.007991267368197441,0.003862704150378704,,
271200,32,0.013716964982450008,,0.009493321180343628,0.0042236438021063805,,
271300,32,0.014370630495250225,,0.009608296677470207,0.004762333817780018,,
271400,32,0.013627932406961918,,0.008886586874723434,0.004741345532238483,,
271500,32,0.01623406633734703,,0.013265067711472511,0.002968998858705163,,
271600,32,0.01111281756311655,,0.008665035478770733,0.002447781851515174,,
271700,32,0.012612193822860718,,0.007879417389631271,0.004732776898890734,,
271800,32,0.006717829033732414,,0.004414184018969536,0.0023036450147628784,,
271900,32,0.016751941293478012,,0.01123097725212574,0.005520964507013559,,
272000,32,0.011224978603422642,,0.008319729939103127,0.0029052486643195152,,
272100,32,0.011450967751443386,,0.006849378813058138,0.004601588938385248,,
272200,32,0.014319019392132759,,0.009798578917980194,0.004520440474152565,,
272300,32,0.012206592597067356,,0.006410486996173859,0.0057961056008934975,,
272400,32,0.0065098353661596775,,0.003834085538983345,0.0026757498271763325,,
272500,32,0.01619711145758629,0.013202817924320698,0.008941220119595528,0.007255892269313335,0.009190111747011542,0.004012706340290606
272600,32,0.012425035238265991,,0.005765276029706001,0.006659759674221277,,
272700,32,0.010530173778533936,,0.007104753982275724,0.003425419796258211,,
272800,32,0.01447252370417118,,0.011098053306341171,0.0033744708634912968,,
272900,32,0.007964342832565308,,0.004254546016454697,0.003709796816110611,,
