Batch,Batch_Size,Train_Loss,Test_Loss,Train_Valid_Dim_Loss,Train_Feature_Loss,Test_Valid_Dim_Loss,Test_Feature_Loss
436100,32,0.013336140662431717,,0.008831795305013657,0.004504344891756773,,
436200,32,0.009866327978670597,,0.00605032267048955,0.003816005075350404,,
436300,32,0.013412333093583584,,0.008710281923413277,0.004702051170170307,,
436400,32,0.00894979014992714,,0.006742116995155811,0.002207673154771328,,
436500,32,0.01729625277221203,,0.009970353916287422,0.007325898855924606,,
436600,32,0.014117089100182056,,0.010373357683420181,0.0037437311839312315,,
436700,32,0.020802093669772148,,0.016830476000905037,0.003971617668867111,,
436800,32,0.013451498933136463,,0.00907856971025467,0.004372929222881794,,
436900,32,0.017368316650390625,,0.01375853642821312,0.0036097802221775055,,
437000,32,0.011647222563624382,,0.008998503908514977,0.0026487186551094055,,
437100,32,0.01974954828619957,,0.014851956628262997,0.004897591657936573,,
437200,32,0.015574516728520393,,0.010259760543704033,0.005314755719155073,,
437300,32,0.013642041012644768,,0.009572992101311684,0.004069048445671797,,
437400,32,0.009160654619336128,,0.006125098094344139,0.0030355562921613455,,
437500,32,0.014217973686754704,0.012800373695790767,0.009829428046941757,0.004388545639812946,0.00939457854256034,0.003405795129947364
437600,32,0.012061938643455505,,0.008973298594355583,0.0030886405147612095,,
437700,32,0.01691587083041668,,0.011499939486384392,0.005415931809693575,,
437800,32,0.016821688041090965,,0.012077256105840206,0.004744431469589472,,
437900,32,0.01148927304893732,,0.009132740087807178,0.002356533193960786,,
438000,32,0.019362926483154297,,0.01429772935807705,0.005065197590738535,,
438100,32,0.006749139167368412,,0.005544410087168217,0.001204729313030839,,
438200,32,0.013034720905125141,,0.010260284878313541,0.0027744360268115997,,
438300,32,0.01274801604449749,,0.008149391040205956,0.004598625469952822,,
438400,32,0.013338678516447544,,0.010295120067894459,0.003043558681383729,,
438500,32,0.014379365369677544,,0.010667577385902405,0.003711787983775139,,
438600,32,0.008788492530584335,,0.005237488076090813,0.0035510039888322353,,
438700,32,0.013792963698506355,,0.00934797152876854,0.004444992169737816,,
438800,32,0.010157128795981407,,0.006487980019301176,0.0036691492423415184,,
438900,32,0.012547027319669724,,0.00891617126762867,0.003630856517702341,,
439000,32,0.009724061004817486,,0.007683187257498503,0.0020408739801496267,,
439100,32,0.008233742788434029,,0.00623941607773304,0.001994326477870345,,
