frechet_distance,trained_batches,batch_size,data_dim,feature_dim,dataset_size
80129330000000.0,20000,32,16384,128,65536
154301060000000.0,20000,32,16384,256,512
157115710000000.0,20000,32,16384,256,1024
158381920000000.0,20000,32,16384,256,2048
159381320000000.0,20000,32,16384,256,4096
159813350000000.0,20000,32,16384,256,8192
159830600000000.0,20000,32,16384,256,16384
159938930000000.0,20000,32,16384,256,32768
159891280000000.0,20000,32,16384,256,65536
300854400000000.0,20000,32,16384,512,1024
303216670000000.0,20000,32,16384,512,2048
305290370000000.0,20000,32,16384,512,4096
306008900000000.0,20000,32,16384,512,8192
306207800000000.0,20000,32,16384,512,16384
306743440000000.0,20000,32,16384,512,32768
306568520000000.0,20000,32,16384,512,65536
42952387000000.0,30000,32,16384,128,256
44945814000000.0,30000,32,16384,128,512
45882000000000.0,30000,32,16384,128,1024
46363710000000.0,30000,32,16384,128,2048
46676930000000.0,30000,32,16384,128,4096
46881887000000.0,30000,32,16384,128,8192
46886434000000.0,30000,32,16384,128,16384
46888435000000.0,30000,32,16384,128,32768
46921920000000.0,30000,32,16384,128,65536
90501236000000.0,30000,32,16384,256,512
92121580000000.0,30000,32,16384,256,1024
93288800000000.0,30000,32,16384,256,2048
93712220000000.0,30000,32,16384,256,4096
94107970000000.0,30000,32,16384,256,8192
94117615000000.0,30000,32,16384,256,16384
94207200000000.0,30000,32,16384,256,32768
94252185000000.0,30000,32,16384,256,65536
176827660000000.0,30000,32,16384,512,1024
178677280000000.0,30000,32,16384,512,2048
179722080000000.0,30000,32,16384,512,4096
180267550000000.0,30000,32,16384,512,8192
180566500000000.0,30000,32,16384,512,16384
180684270000000.0,30000,32,16384,512,32768
180687710000000.0,30000,32,16384,512,65536
31878885000000.0,40000,32,16384,128,256
33198327000000.0,40000,32,16384,128,512
33944825000000.0,40000,32,16384,128,1024
34285866000000.0,40000,32,16384,128,2048
34411244000000.0,40000,32,16384,128,4096
34467238000000.0,40000,32,16384,128,8192
34481300000000.0,40000,32,16384,128,16384
34530088000000.0,40000,32,16384,128,32768
34544208000000.0,40000,32,16384,128,65536
69652250000000.0,40000,32,16384,256,512
71625114000000.0,40000,32,16384,256,1024
72419660000000.0,40000,32,16384,256,2048
72455190000000.0,40000,32,16384,256,4096
72619400000000.0,40000,32,16384,256,8192
72604320000000.0,40000,32,16384,256,16384
72715850000000.0,40000,32,16384,256,32768
72784720000000.0,40000,32,16384,256,65536
140657890000000.0,40000,32,16384,512,1024
142791860000000.0,40000,32,16384,512,2048
142909650000000.0,40000,32,16384,512,4096
143089030000000.0,40000,32,16384,512,8192
143355400000000.0,40000,32,16384,512,16384
143572420000000.0,40000,32,16384,512,32768
143593120000000.0,40000,32,16384,512,65536
19155456000000.0,60000,32,16384,128,256
20014700000000.0,60000,32,16384,128,512
20416043000000.0,60000,32,16384,128,1024
20706640000000.0,60000,32,16384,128,2048
20868015000000.0,60000,32,16384,128,4096
20877995000000.0,60000,32,16384,128,8192
20891887000000.0,60000,32,16384,128,16384
20891320000000.0,60000,32,16384,128,32768
20872885000000.0,60000,32,16384,128,65536
38335595000000.0,60000,32,16384,256,512
39160010000000.0,60000,32,16384,256,1024
39692040000000.0,60000,32,16384,256,2048
39967187000000.0,60000,32,16384,256,4096
40028350000000.0,60000,32,16384,256,8192
40136150000000.0,60000,32,16384,256,16384
40150424000000.0,60000,32,16384,256,32768
40126776000000.0,60000,32,16384,256,65536
81552670000000.0,60000,32,16384,512,1024
82717510000000.0,60000,32,16384,512,2048
83369560000000.0,60000,32,16384,512,4096
83433110000000.0,60000,32,16384,512,8192
83484930000000.0,60000,32,16384,512,16384
83481270000000.0,60000,32,16384,512,32768
